X,Y,W,H
198,228,63,57
100,75,166,387
120,222,34,22
75,116,67,60
257,150,203,112
180,311,44,59
0,14,496,481
44,150,175,175
106,280,56,91
44,125,178,155
153,7,19,32
130,170,150,202
78,108,42,38
133,176,56,52
210,108,209,135
282,55,31,25
47,40,382,291
38,36,131,97
3,5,200,322
141,426,37,65
38,45,282,376
154,439,24,59
140,142,122,190
241,100,125,83
13,183,45,29
297,353,21,23
0,1,497,331
350,148,22,15
107,131,196,110
206,138,107,78
89,87,93,79
80,195,376,137
152,217,126,282
14,414,123,84
189,153,38,40
374,130,102,66
24,100,175,130
359,197,72,137
75,411,27,30
266,55,106,318
62,42,366,330
157,50,260,112
124,67,33,24
144,32,342,297
130,107,160,376
54,16,352,325
193,161,98,75
35,8,253,491
174,163,197,125
90,84,51,45
43,62,265,228
225,100,73,20
215,15,260,81
36,103,462,211
35,242,462,128
8,5,300,382
83,2,200,202
49,78,65,82
147,164,302,156
180,66,116,71
350,220,141,105
143,31,204,216
76,152,140,301
20,9,45,30
57,60,186,161
264,184,20,13
74,152,59,55
52,294,71,84
3,0,495,60
80,140,61,95
119,89,328,160
314,117,41,49
65,183,25,18
392,106,25,16
66,42,387,289
3,3,493,326
143,8,24,27
3,18,487,305
127,10,363,250
201,100,105,128
42,86,434,96
252,81,64,94
20,195,121,158
13,85,25,41
98,30,300,300
257,70,209,260
180,67,32,27
131,125,247,45
109,63,202,190
291,124,175,82
70,90,405,229
143,107,248,120
433,150,50,52
97,114,98,219
131,128,261,195
103,125,175,166
252,34,137,127
184,75,77,68
116,260,45,118
184,148,43,130
141,3,109,149
215,218,107,132
53,181,176,126
2,2,370,243
68,157,150,133
175,103,54,61
29,254,302,244
35,40,409,190
268,183,165,126
168,104,8,5
140,109,107,139
346,161,64,70
326,90,47,50
5,1,492,342
172,49,198,214
382,26,51,27
13,180,472,77
26,109,101,84
75,27,80,42
185,272,141,77
20,19,430,312
111,214,32,63
226,119,58,52
1,167,382,206
69,279,113,80
397,0,43,91
355,125,134,55
87,211,45,26
136,181,227,80
199,15,95,70
178,44,33,66
220,112,64,85
10,5,175,277
79,22,400,298
112,73,338,283
1,3,494,368
195,156,100,114
27,173,306,245
46,84,199,414
1,0,58,140
317,273,5,15
367,228,81,145
120,75,345,200
137,32,340,461
102,159,42,40
166,333,17,23
219,291,61,60
71,3,405,256
50,284,272,206
362,220,104,127
33,63,127,269
120,108,197,200
105,82,14,10
81,17,56,38
44,85,204,221
105,78,210,253
257,285,22,14
60,33,372,108
156,77,110,181
34,68,252,149
225,53,135,217
125,43,25,46
184,108,120,180
47,71,174,180
120,85,70,195
338,102,32,82
265,0,120,121
0,254,331,245
410,28,36,59
50,5,418,326
284,62,107,311
199,196,40,55
6,20,485,271
73,112,118,141
167,212,17,20
125,1,250,358
44,182,42,51
70,131,197,269
126,107,296,260
260,6,95,62
122,97,60,62
112,308,163,129
26,244,472,85
228,36,263,99
79,111,15,29
16,81,435,214
265,159,93,56
188,51,167,106
91,195,367,106
152,176,19,20
23,241,290,178
1,238,132,83
58,6,292,71
107,48,208,201
5,283,424,80
125,115,372,215
6,364,346,133
129,390,24,21
226,17,271,314
248,419,6,11
146,318,34,77
186,110,11,29
11,1,392,318
283,159,10,8
96,56,113,47
3,1,282,213
82,309,222,126
102,90,275,205
143,75,273,250
431,58,45,62
50,1,280,492
242,219,30,66
178,58,48,120
272,75,157,223
126,221,35,42
141,247,34,51
2,0,492,318
23,11,452,353
106,138,146,112
259,93,51,47
237,21,192,310
185,55,27,20
113,115,260,137
150,23,140,106
128,97,13,20
106,133,268,147
42,105,455,201
3,93,492,232
2,40,497,334
111,227,21,49
101,45,55,35
104,120,191,272
0,134,498,195
9,359,43,15
2,4,36,41
415,133,8,7
130,42,340,315
189,173,45,89
61,186,429,106
155,144,50,60
0,1,150,498
3,137,142,142
114,90,90,47
139,127,170,195
289,104,52,57
40,41,401,276
17,50,133,319
3,3,111,162
127,73,106,86
372,41,48,38
295,172,11,14
89,178,305,137
387,187,54,80
21,5,367,326
0,302,352,71
55,205,93,72
143,133,137,214
51,110,166,123
66,70,347,227
150,171,218,87
3,106,361,378
278,269,46,43
201,380,124,88
1,10,498,322
226,122,115,74
152,65,120,105
208,187,71,42
172,184,25,60
194,327,87,51
87,81,137,99
61,193,172,170
31,25,451,335
21,19,351,478
81,149,17,30
128,155,195,122
327,149,17,15
141,40,223,200
28,87,85,65
205,30,57,111
73,173,140,139
283,43,146,268
0,120,460,254
80,75,293,211
113,155,183,263
81,46,281,302
38,157,130,135
40,194,178,137
356,5,58,100
152,302,54,36
47,45,24,19
372,129,42,51
46,43,242,122
426,254,22,19
169,0,125,100
60,93,67,75
31,19,191,479
116,47,260,245
220,6,257,315
49,165,71,39
88,362,161,92
54,71,219,75
407,314,49,42
213,270,22,58
210,22,289,181
113,117,127,87
145,193,59,66
36,211,203,71
66,41,355,275
107,267,69,93
68,211,125,100
199,165,37,92
146,29,150,260
83,40,375,239
298,84,120,226
238,76,45,35
88,23,345,235
211,180,50,63
167,203,138,60
116,77,230,149
1,227,372,53
15,7,473,266
4,3,490,366
0,0,308,102
86,100,397,173
415,82,84,27
116,85,180,115
253,94,162,161
203,227,65,138
231,208,140,50
72,100,42,27
88,303,70,53
197,188,37,185
37,31,35,82
18,84,348,370
81,118,315,162
335,0,54,47
5,10,323,477
2,61,496,312
128,277,255,84
143,130,101,259
482,38,6,10
9,124,487,140
142,136,115,97
46,130,223,49
1,54,17,148
86,62,231,60
0,123,306,251
73,158,156,269
191,36,120,121
25,39,461,287
138,116,85,176
54,156,440,212
29,38,326,290
37,32,320,300
381,50,35,26
16,6,473,279
220,3,163,125
5,92,366,239
51,16,140,427
120,384,60,33
0,2,231,384
59,164,187,166
240,254,57,47
164,43,165,226
116,88,73,78
104,44,176,203
81,35,367,233
89,44,295,275
75,43,112,103
77,52,300,320
79,13,223,178
75,229,128,204
92,42,130,80
1,212,278,236
1,1,497,326
252,109,144,212
292,184,61,47
77,3,195,489
2,259,337,239
299,182,172,150
268,166,102,25
11,33,348,291
144,46,67,114
51,62,350,142
135,94,251,227
40,182,270,158
258,409,51,26
0,0,499,372
18,211,481,53
145,113,307,122
252,209,21,27
121,79,112,132
252,298,98,93
8,10,487,358
63,104,10,13
98,154,161,143
141,262,85,50
188,167,103,40
151,121,55,121
257,143,129,167
48,169,63,77
114,225,16,20
152,2,176,81
68,238,50,50
3,2,493,159
42,257,7,112
274,55,54,93
280,3,70,70
74,51,178,344
77,224,22,24
211,146,105,54
174,1,182,260
231,287,22,37
118,195,54,32
155,220,138,123
103,71,188,62
17,123,115,190
6,3,485,322
3,5,485,322
28,5,281,290
328,235,98,38
110,129,174,352
6,2,460,280
277,53,97,142
5,71,492,269
31,68,128,63
119,406,212,74
306,80,13,16
132,298,12,12
200,252,42,75
155,264,22,17
73,124,366,154
311,33,85,149
188,354,54,34
257,90,102,113
139,215,52,92
182,114,151,81
31,1,176,225
47,231,60,108
404,193,82,142
277,205,77,114
89,159,117,105
98,90,189,317
231,404,45,91
0,172,85,126
316,40,43,22
117,255,89,114
76,116,385,185
186,201,16,16
5,3,327,479
217,156,132,100
285,97,167,170
79,85,96,166
57,348,22,15
161,28,77,100
130,156,67,81
161,147,53,62
62,114,180,208
287,209,81,121
153,215,140,121
330,65,28,38
8,1,267,343
121,6,101,357
159,21,121,121
192,82,228,230
44,385,72,64
133,259,183,173
103,397,26,36
23,86,260,245
204,247,72,150
152,115,189,77
39,6,437,348
223,70,114,220
168,83,101,172
272,4,17,26
153,71,252,250
223,136,86,115
124,59,260,270
141,131,68,101
106,103,161,159
220,142,133,177
2,2,370,218
205,1,127,254
20,76,196,115
0,42,247,332
298,189,128,72
156,88,296,138
129,248,45,51
13,92,285,208
138,127,177,203
37,9,232,431
291,267,48,39
138,99,21,22
34,1,392,126
66,108,202,203
9,4,475,319
167,377,33,45
252,176,150,94
24,48,371,449
3,1,495,332
8,0,490,493
82,16,228,316
2,3,495,302
98,135,197,180
190,16,124,74
165,205,56,25
102,52,340,240
20,8,404,321
0,44,497,286
197,121,84,205
2,0,394,498
106,43,86,33
309,13,86,91
213,107,207,267
69,83,320,149
75,40,265,220
104,318,35,44
208,140,290,192
301,56,27,42
95,17,54,54
11,130,351,342
84,49,181,213
1,1,495,175
199,185,99,118
176,402,28,16
12,0,472,302
24,11,457,341
24,198,252,274
226,190,64,39
182,301,77,131
229,79,75,67
6,195,53,121
77,288,25,33
203,30,147,152
218,301,7,18
242,170,47,90
271,47,210,217
80,90,356,124
210,77,257,202
232,45,82,121
14,5,248,492
165,175,34,34
2,0,497,256
167,249,192,245
218,110,127,67
121,46,277,243
168,243,43,45
108,45,237,256
430,0,69,222
307,89,172,167
3,49,481,267
131,214,90,112
314,10,175,347
241,268,62,52
132,28,239,285
83,139,72,80
178,215,55,62
0,2,495,147
16,198,290,265
52,278,11,54
22,28,426,282
181,39,158,252
235,132,257,222
153,298,2,3
2,282,50,42
228,80,90,95
251,191,55,55
353,116,52,63
88,27,378,225
1,0,497,325
5,0,220,176
111,29,362,302
256,217,18,38
253,107,220,123
25,20,436,315
29,28,314,414
249,133,91,80
4,135,494,85
167,178,137,72
293,22,57,62
171,364,62,115
41,175,41,91
3,274,493,99
244,205,87,208
145,211,80,67
104,55,140,142
153,7,22,222
139,112,89,35
37,8,291,488
75,295,101,131
153,331,59,88
111,153,85,60
306,105,156,147
87,121,386,115
84,8,26,323
56,114,44,95
35,179,444,195
161,283,16,22
0,181,327,50
15,58,27,17
52,171,152,77
149,112,52,72
215,311,8,2
183,173,64,75
53,5,83,105
153,94,240,181
384,66,95,197
119,299,49,36
72,199,17,17
185,95,97,191
151,239,29,29
30,35,40,118
100,157,99,137
185,40,40,42
15,8,356,259
226,51,32,60
178,132,141,126
64,26,402,300
172,122,17,14
17,231,246,246
82,36,262,305
264,190,42,34
87,34,65,24
3,23,402,103
88,80,361,244
60,169,120,92
33,26,460,251
92,475,64,1
381,95,82,113
185,5,60,28
180,24,70,176
14,68,276,430
161,7,67,45
199,55,60,61
153,423,59,14
276,40,201,146
223,112,58,195
6,79,491,244
156,395,190,104
2,50,152,219
14,139,201,306
187,100,37,30
403,138,15,17
28,297,57,27
116,171,149,105
45,5,440,367
26,64,306,429
69,149,225,124
11,57,355,266
182,130,138,160
391,162,68,39
10,111,54,61
30,218,41,63
154,53,156,210
211,24,177,167
15,7,450,225
2,2,496,327
221,304,86,47
88,277,39,73
297,313,23,47
117,115,270,258
121,77,287,254
35,205,437,80
128,15,80,38
167,422,26,62
125,340,127,51
0,18,113,132
197,140,168,168
63,118,17,31
208,87,28,45
126,83,150,221
107,12,71,62
131,119,15,20
351,204,44,20
58,459,19,21
269,162,15,12
17,262,62,46
218,47,105,239
73,199,156,111
210,19,279,234
113,2,54,42
58,15,210,107
272,53,118,239
228,47,232,212
54,29,222,259
44,7,56,66
167,100,217,231
283,107,34,42
3,290,16,10
91,260,93,223
107,159,166,248
422,169,72,162
2,44,237,192
170,160,257,118
123,324,70,94
210,25,274,334
267,127,58,94
109,67,227,215
4,296,107,53
254,102,45,28
73,55,151,440
103,91,158,43
137,36,352,289
22,404,200,70
293,364,64,3
167,347,89,17
194,68,77,39
144,146,287,55
216,97,25,60
196,216,151,157
296,68,200,235
282,10,217,363
120,243,204,120
62,50,344,257
290,196,65,43
379,52,73,52
139,10,223,112
415,0,84,139
1,61,498,207
223,116,27,149
10,17,320,480
7,28,476,190
201,120,85,85
126,296,6,28
155,11,262,301
182,218,152,166
143,308,12,26
27,48,440,187
22,0,475,345
171,147,36,34
184,199,34,39
15,7,465,310
199,282,17,58
43,16,288,477
96,0,292,332
386,229,37,40
102,300,36,22
353,243,47,123
0,1,498,372
0,40,165,333
219,89,277,242
3,192,282,160
41,170,208,147
37,43,260,192
131,35,221,285
10,125,486,205
312,308,14,23
2,0,495,480
347,88,13,20
12,32,423,457
152,107,145,222
121,70,247,320
80,96,142,116
9,127,318,371
126,144,213,127
187,69,175,150
40,8,67,80
289,285,67,17
206,116,113,15
389,200,35,22
280,379,14,52
267,437,28,50
171,178,73,31
317,162,127,197
110,115,138,127
177,139,140,130
224,134,24,83
15,71,70,38
15,111,169,75
55,101,64,42
4,121,57,62
129,33,153,156
65,394,28,72
156,171,21,38
176,172,9,20
4,133,288,183
151,26,124,89
114,70,30,36
50,102,37,26
383,145,73,113
265,130,39,77
63,12,301,362
93,24,332,281
223,182,75,82
58,6,397,272
130,63,144,269
57,251,199,214
75,225,24,31
175,63,187,231
418,120,36,31
284,266,32,42
72,142,116,102
98,90,254,281
79,17,125,454
90,252,10,129
30,8,365,316
7,67,478,187
406,93,53,65
310,168,34,75
326,72,68,70
338,90,110,168
184,5,273,267
147,180,74,86
111,315,107,62
51,58,335,192
180,51,68,79
62,137,145,83
182,259,15,10
34,78,97,289
206,173,62,67
193,159,11,10
1,243,247,85
293,419,127,79
70,273,12,88
157,217,24,24
375,170,40,40
216,8,91,55
298,178,103,162
164,53,183,342
115,117,17,15
80,163,242,67
352,229,40,45
107,227,180,141
62,116,45,55
226,46,62,45
87,95,43,101
75,76,320,209
23,0,349,479
205,92,36,40
96,18,246,285
7,191,424,102
285,10,105,100
202,98,56,82
180,99,147,163
197,116,301,254
121,280,44,47
126,331,198,45
41,410,56,48
230,113,152,87
386,215,112,60
120,179,87,138
17,92,468,180
106,137,313,184
93,117,83,84
39,158,19,26
245,67,7,6
305,201,7,8
28,417,30,55
137,377,234,81
80,140,342,95
100,261,72,69
143,441,25,32
24,52,226,179
69,69,159,165
36,165,44,42
264,328,73,72
21,109,467,144
201,341,55,78
147,5,206,365
106,91,301,239
74,103,211,273
420,179,76,314
137,130,140,99
22,16,155,461
89,7,352,352
1,48,345,446
131,128,90,82
122,377,87,39
0,89,499,280
10,6,468,89
55,11,303,305
197,340,61,9
176,123,44,52
40,268,151,209
6,416,17,49
217,155,9,11
2,8,138,112
72,72,152,373
251,92,60,73
127,66,228,226
229,138,177,165
110,169,231,73
153,150,60,47
68,346,19,27
38,273,19,19
16,256,62,76
313,71,166,88
219,286,26,45
0,266,132,67
252,127,63,136
149,1,106,54
180,245,55,30
89,415,29,55
318,271,16,79
290,66,162,150
0,0,498,200
110,198,43,54
146,34,235,24
260,219,24,45
18,64,311,295
64,318,241,127
241,250,41,37
172,227,79,73
360,117,69,67
105,36,274,219
80,41,222,20
10,18,487,265
61,48,375,238
127,98,210,215
138,248,36,47
337,178,23,11
141,225,40,45
215,246,30,46
26,475,15,19
200,278,50,33
12,29,481,218
481,217,17,51
230,93,105,177
154,38,221,253
342,117,16,18
306,72,17,16
373,267,24,32
82,44,288,286
224,342,29,28
209,170,52,62
123,153,144,289
46,60,445,271
245,73,73,78
178,316,132,54
15,82,35,29
103,205,167,108
123,9,137,57
235,114,46,218
31,67,468,205
61,71,202,237
206,322,1,48
138,85,183,361
11,9,455,323
297,327,1,2
80,313,267,167
26,135,452,168
65,155,195,86
33,261,22,32
36,232,66,101
81,243,88,234
107,200,136,199
109,267,52,45
78,225,54,78
137,71,359,260
324,52,142,178
61,83,32,33
0,249,498,167
77,0,297,492
315,127,124,138
38,9,331,475
27,259,223,239
168,123,135,73
240,270,40,19
15,31,475,144
39,90,205,251
30,184,333,297
147,191,45,56
172,261,19,39
13,54,467,197
209,187,20,12
293,103,129,191
134,2,364,147
4,303,55,84
58,29,390,292
235,192,20,16
60,249,43,27
109,113,171,114
107,193,85,118
331,205,65,60
17,14,479,484
213,126,77,68
48,120,205,177
250,155,175,109
216,94,82,225
34,69,340,312
293,137,50,69
204,253,69,30
30,35,340,249
142,33,92,80
276,245,24,7
0,1,331,135
228,119,92,97
107,117,163,300
210,208,32,72
82,136,250,254
76,403,194,76
283,339,15,12
2,1,371,497
274,320,7,3
100,3,311,296
162,207,26,33
324,10,122,178
135,128,217,149
98,147,32,23
18,271,302,152
265,313,3,2
1,191,332,224
27,22,58,69
102,228,87,102
106,171,105,55
148,0,96,51
18,115,467,372
237,84,25,28
144,251,167,75
37,367,196,115
1,1,308,498
58,110,438,220
132,88,62,25
87,44,334,255
85,73,335,208
325,242,32,21
22,212,66,65
303,12,44,390
102,245,222,93
436,163,47,45
108,108,46,54
391,215,34,27
236,303,2,2
194,418,17,15
262,153,167,220
10,91,430,282
22,23,407,293
204,98,23,15
24,89,265,344
120,12,218,315
140,0,100,170
198,2,72,140
142,92,253,143
408,74,85,160
157,132,322,102
288,128,30,25
125,107,264,230
33,70,285,295
133,262,188,236
138,70,40,33
18,13,139,155
148,36,228,277
11,342,388,77
51,56,249,288
40,234,69,85
3,9,284,262
147,0,167,178
72,163,62,127
138,77,257,217
91,130,159,106
221,187,29,13
56,25,263,221
96,69,132,203
25,39,196,280
315,57,167,138
53,93,245,232
180,155,36,24
69,477,106,13
129,329,86,122
108,202,110,51
196,190,52,38
100,112,156,210
26,70,49,85
147,68,153,225
274,174,81,71
358,202,58,89
0,5,498,74
109,348,156,87
237,100,40,28
215,84,204,237
113,47,69,104
328,3,170,56
357,192,105,57
76,34,332,273
58,97,341,372
134,94,47,31
35,242,20,30
198,120,174,349
315,35,180,335
60,3,190,339
200,105,131,155
159,87,188,241
81,110,220,304
10,51,488,281
19,37,237,188
267,80,72,48
28,70,440,230
71,265,101,66
280,262,65,45
11,1,473,312
105,166,220,190
271,103,71,183
124,353,62,43
1,3,497,287
155,115,233,187
8,42,302,330
333,93,140,225
14,55,484,262
144,28,205,121
2,53,405,98
63,171,115,143
51,18,249,116
24,83,360,247
93,70,272,141
216,45,87,37
68,9,364,323
245,175,36,31
300,195,42,51
123,267,91,164
38,173,73,72
24,224,457,44
244,95,58,34
276,83,210,60
12,12,485,292
231,215,57,78
131,31,221,277
34,106,118,391
12,149,367,176
189,236,59,32
71,161,372,112
8,25,490,347
290,23,166,105
210,301,46,43
10,152,6,9
230,123,143,199
334,22,17,62
229,342,22,44
20,56,143,247
106,37,258,304
174,41,42,50
150,120,31,52
158,202,155,71
431,30,20,19
91,203,28,137
1,155,175,210
178,242,74,110
243,46,53,114
170,111,137,167
13,54,484,202
284,152,104,56
33,157,413,217
8,12,18,21
278,118,12,17
334,160,76,134
47,157,391,143
167,111,93,104
279,131,130,132
220,131,100,102
143,63,221,258
164,160,99,154
42,231,253,18
73,363,35,44
0,24,380,265
25,52,433,286
122,271,244,136
248,159,21,73
233,34,187,453
59,142,180,323
86,40,117,80
90,165,93,76
363,316,12,12
386,153,30,29
10,92,455,62
303,43,177,111
2,1,369,496
114,80,287,283
118,274,45,11
322,221,35,62
240,286,164,87
11,27,474,202
330,174,73,47
206,136,82,90
83,107,117,66
10,5,437,370
146,49,64,53
39,190,334,65
65,133,48,23
31,422,40,45
160,131,26,104
50,138,18,8
82,1,243,497
65,121,44,99
253,222,35,82
310,223,16,138
211,22,185,317
130,174,40,15
83,127,70,75
42,120,177,195
66,22,295,280
1,197,346,58
370,140,43,75
251,102,97,100
3,2,24,25
247,151,22,23
168,30,194,200
10,119,394,196
82,362,48,82
283,6,12,24
0,10,480,258
129,75,269,252
200,108,297,162
41,5,405,309
134,87,351,197
132,55,195,202
313,0,127,87
73,0,212,230
425,153,57,52
58,160,74,123
222,107,43,55
390,245,24,15
123,139,99,34
12,15,69,76
75,51,280,433
286,232,85,77
161,49,255,73
139,95,244,261
312,408,49,90
129,252,83,59
147,173,131,240
130,29,69,136
19,190,77,181
209,117,70,89
63,44,254,217
137,72,54,48
276,27,128,197
239,194,108,60
121,414,89,58
38,103,439,116
99,91,281,188
333,201,73,77
298,163,122,101
183,109,232,116
208,264,212,225
2,12,132,422
291,151,23,26
245,76,135,175
370,97,75,35
91,95,325,104
232,159,260,115
146,215,190,99
147,175,259,92
121,65,269,263
255,153,60,25
168,82,185,195
22,5,460,325
258,189,14,18
21,105,220,198
379,321,45,29
165,109,67,77
157,51,267,279
98,74,287,257
46,8,109,238
174,174,267,200
48,200,207,91
327,69,101,125
37,170,60,44
150,159,39,97
107,66,135,403
201,139,80,119
188,115,70,44
7,11,377,137
341,223,47,32
194,216,26,40
276,15,208,316
76,201,281,49
206,98,175,245
157,33,162,245
75,138,136,114
21,55,344,441
262,51,142,241
102,228,103,149
146,43,60,64
245,195,17,24
116,319,112,127
38,152,228,273
470,126,28,36
49,233,127,104
211,136,63,45
144,162,262,139
10,4,381,494
176,183,7,4
117,65,148,133
158,43,182,210
432,183,67,139
123,83,285,264
19,156,360,125
171,48,115,94
164,418,48,65
181,192,284,175
148,372,162,110
159,258,10,15
129,63,23,64
37,34,227,429
250,186,45,37
54,213,121,119
169,66,330,37
19,47,480,284
84,159,118,68
5,4,322,492
9,10,486,352
360,175,110,140
2,94,282,212
7,187,42,133
6,38,470,433
0,165,135,127
449,172,50,148
144,129,112,157
160,143,170,125
106,270,57,50
241,119,66,56
1,0,185,189
1,213,262,115
290,48,53,66
360,178,50,157
328,96,83,102
231,267,115,109
149,66,110,117
29,143,283,86
180,145,51,57
142,34,108,211
194,239,132,81
0,322,68,51
98,233,17,33
31,119,437,251
128,294,152,72
15,83,216,242
58,0,274,131
226,301,99,168
53,196,277,209
212,47,63,84
153,100,111,360
268,79,70,96
75,177,129,239
257,13,132,36
186,63,62,65
220,29,62,116
119,373,76,73
220,63,143,391
65,22,338,444
117,295,52,22
84,12,225,407
1,1,261,135
0,58,181,142
285,256,36,27
405,0,92,187
277,0,220,198
36,27,334,399
418,3,64,183
187,155,119,29
71,166,40,40
65,101,179,122
112,218,4,24
7,273,20,8
45,279,133,66
66,119,82,49
1,39,498,152
72,210,5,16
382,174,48,33
398,86,73,90
168,109,114,174
365,80,28,27
236,182,21,59
6,2,493,360
0,378,80,66
125,149,39,39
262,242,107,100
92,0,392,373
239,266,55,105
225,142,160,60
4,13,262,317
44,285,18,2
232,130,40,28
2,8,495,311
202,206,21,20
0,237,390,46
153,130,102,85
101,149,180,78
11,19,475,208
157,92,112,124
3,191,48,87
39,110,119,81
32,232,31,11
207,28,183,89
156,150,86,32
288,116,190,331
63,44,328,260
62,79,404,150
1,65,471,396
38,122,431,175
230,92,47,37
478,315,2,7
3,105,156,102
150,3,44,91
26,106,278,186
330,236,77,57
53,111,145,155
47,22,396,352
183,216,70,35
136,125,107,151
157,31,47,116
165,204,47,128
24,62,449,187
63,90,395,204
445,308,24,7
119,127,79,50
291,470,36,29red
40,114,120,146
131,137,64,143
29,255,87,157
340,118,26,26
315,373,43,73
270,170,32,22
133,14,50,42
118,145,380,186
204,104,130,103
176,149,33,25
163,43,102,106
20,88,98,88
267,67,91,166
259,157,11,13
176,108,62,66
147,153,180,85
116,68,201,165
385,289,8,3
177,117,58,32
68,217,265,112
242,218,71,25
225,23,50,41
139,88,265,285
323,152,15,17
188,203,54,34
135,150,42,22
305,137,47,50
2,5,491,327
59,34,412,312
176,15,147,247
125,317,230,151
0,178,375,165
278,141,115,125
55,117,392,107
123,195,8,11
349,82,141,142
206,28,85,342
40,0,73,238
191,27,166,346
117,18,235,308
9,0,479,244
1,25,121,148
148,63,74,85
269,324,10,4
65,267,60,55
141,150,91,72
79,8,230,483
0,1,462,372
239,308,9,11
214,48,159,169
103,406,36,34
195,167,286,146
175,104,318,217
9,70,485,180
167,270,42,104
77,109,363,204
98,4,291,314
255,169,167,87
69,276,35,53
122,59,217,268
228,325,2,3
257,231,13,15
106,275,118,192
193,127,75,120
347,191,62,130
14,134,61,153
43,7,290,325
295,67,97,207
144,162,142,52
74,137,10,27
169,118,55,26
402,22,51,18
340,55,74,229
13,2,480,312
233,0,61,71
203,240,161,115
147,401,23,87
128,313,53,72
0,80,157,168
0,0,331,498
15,17,347,356
115,64,53,106
322,54,158,101
312,8,87,139
121,155,135,77
115,210,174,199
247,191,189,96
294,1,11,57
1,308,90,190
270,196,5,43
114,118,247,205
8,82,490,237
144,164,203,159
161,139,267,186
150,96,150,47
148,73,157,202
137,341,47,43
111,88,39,52
9,21,101,118
413,253,10,10
6,11,312,354
179,249,18,35
25,4,380,494
435,107,7,10
159,47,305,315
1,0,326,499
131,62,225,242
1,0,330,497
51,19,180,449
268,175,22,79
484,235,7,17
90,60,362,394
83,133,117,148
210,50,218,130
293,20,55,51
190,165,202,112
52,265,12,55
88,152,355,157
244,194,137,111
216,88,5,9
1,26,490,300
70,227,30,37
98,242,88,30
162,64,270,257
165,14,55,127
435,91,30,62
18,3,328,266
466,160,30,46
152,15,36,38
202,237,9,13
35,53,462,305
226,159,225,98
6,27,434,461
383,29,63,103
293,161,21,22
150,71,185,223
162,7,38,80
23,58,428,203
25,36,430,291
195,140,138,182
399,161,17,15
266,356,107,47
147,145,15,30
93,48,359,282
107,133,151,86
70,106,427,223
209,0,284,68
98,103,47,95
108,73,176,211
255,434,21,51
200,49,97,210
254,28,228,82
409,227,24,52
21,70,420,258
131,63,15,17
2,7,487,365
185,325,55,129
138,272,95,187
107,96,149,143
454,216,10,48
217,129,53,49
268,149,35,35
196,225,48,55
391,49,89,39
278,451,10,17
19,180,105,114
224,149,92,66
6,18,332,247
368,268,8,19
283,141,71,58
3,36,480,425
169,212,48,42
207,237,25,49
125,121,277,223
243,18,72,17
78,39,233,333
25,30,415,456
246,135,101,157
96,350,25,33
191,57,80,50
0,102,300,173
209,68,35,22
0,72,245,195
391,262,22,74
101,51,120,262
170,318,57,85
1,3,497,367
211,144,33,11
22,25,337,274
309,23,190,285
23,120,106,109
285,66,134,431
374,217,113,65
7,47,120,310
343,83,135,249
59,492,39,6
19,106,155,220
198,45,285,195
134,28,45,47
185,0,182,324
123,52,351,257
234,235,29,54
265,187,29,70
233,116,36,39
324,52,22,85
297,49,15,15
116,248,160,80
31,301,27,30
163,0,222,51
133,91,46,42
41,53,457,303
3,334,301,164
53,115,59,120
330,180,131,162
60,5,303,302
47,36,152,54
318,86,139,50
127,140,49,54
6,5,487,335
6,93,390,260
3,19,452,303
283,39,24,20
266,140,6,20
109,208,25,67
157,61,342,436
165,138,45,49
165,0,157,122
99,389,110,82
102,65,41,78
171,118,135,133
192,17,85,196
48,50,259,177
187,72,159,211
115,39,357,254
106,96,374,206
305,153,102,107
33,33,76,60
282,213,50,43
71,69,232,117
1,118,206,259
0,189,210,175
320,63,22,20
298,124,50,36
27,11,266,280
197,323,86,73
2,242,220,88
0,43,346,271
39,18,438,277
2,110,496,313
117,381,170,64
125,93,162,145
198,222,193,108
297,399,4,6
111,110,253,161
92,35,388,262
110,0,363,271
56,23,428,466
91,0,406,356
6,0,282,330
338,81,40,13
188,30,278,96
110,5,84,17
93,330,278,165
2,65,372,401
125,392,36,44
250,355,230,136
29,119,183,208
80,44,345,275
4,120,495,209
74,181,209,80
38,105,65,52
215,40,71,172
3,2,495,370
15,0,357,157
248,279,57,30
248,249,89,38
0,146,190,348
228,260,107,35
5,10,490,315
216,112,35,124
328,99,29,25
59,4,226,310
368,380,33,72
10,56,281,261
3,402,441,95
248,243,27,227
74,106,101,206
398,17,37,25
330,250,43,132
67,90,140,197
266,88,27,107
269,124,5,15
244,50,156,280
48,147,377,214
70,13,287,251
121,232,89,27
21,187,63,50
294,257,10,17
118,169,193,86
94,6,400,312
2,206,12,11
391,125,74,77
159,60,223,265
339,0,52,207
53,189,445,164
5,197,176,62
33,30,413,423
261,387,70,52
245,75,132,184
144,238,77,19
197,187,72,101
381,60,83,201
222,93,85,25
11,12,485,302
340,80,109,122
185,162,137,225
460,84,30,164
147,126,163,146
96,177,83,20
4,27,475,332
47,27,258,466
289,205,7,12
367,161,48,83
201,253,36,24
196,7,82,90
393,240,77,81
296,138,51,37
367,49,97,110
362,129,56,39
254,303,13,17
21,20,161,319
11,313,180,175
85,1,231,166
257,32,62,41
301,255,93,48
454,201,45,85
243,235,18,28
375,300,15,17
111,136,74,51
20,150,325,121
246,110,59,44
6,11,478,361
